Station Number,Sample ID,Sample Date,Statutory Class,Attained Class,Report,Final Determination
S-377,SA-377-2009,7/22/2009,--,--,,
S-377,SA-377-2009R (900),7/22/2009,B,No,,C
S-377,780,8/16/1999,B,Yes,Report,B
S-377,1863,8/19/2009,B,Yes,View,A
S-378,781,8/16/1999,B,Yes,Report,A
S-379,785,8/17/1999,B,No,Report,C
S-380,786,8/18/1999,B,No,Report,C
S-381,787,8/18/1999,B,Yes,Report,B
S-382,788,8/18/1999,B,No,Report,C
S-382,1352,8/22/2005,B,No,,C
S-383,789,8/17/1999,B,Yes,Report,A
S-383,1353,8/22/2005,B,Yes,,A
S-384,791,9/20/1999,B,No,Report,NA
S-384,2170,9/28/2012,B,No,View,NA
S-384,2309,8/27/2014,B,No,View,NA
S-385,794,8/20/1999,B,No,Report,C
S-386,795,8/20/1999,B,No,Report,C
S-387,799,8/23/1999,C,No,Report,NA
S-387,1258,8/25/2003,C,No,,NA
S-388,SA-388-2010,7/7/2010,--,--,Report,
S-388,SA-388-2010R (967),7/7/2010,B,Yes,,A
S-388,SA-388-2015,7/9/2015,--,--,,
S-388,SA-388-2015R (1523),7/9/2015,B,Yes,,A
S-388,800,8/24/1999,B,Yes,Report,B
S-388,1339,8/17/2005,B,Yes,,B
S-389,954,8/16/1999,B,Yes,Report,A
S-389,968,8/24/2000,B,Yes,,A
S-390,802,8/24/1999,C,Yes,Report,B
S-390,1954,8/23/2010,C,Yes,View,B
S-390,2379,8/18/2015,C,Yes,View,A
S-391,SA-391-2004,7/8/2004,--,--,Report,
S-391,SA-391-2004R (254),7/8/2004,C,Yes,,B
S-391,SA-391-2010,7/7/2010,--,--,,
S-391,SA-391-2010R (964),7/7/2010,C,Yes,,A
S-391,SA-391-2015,7/20/2015,--,--,,
S-391,SA-391--2015,7/20/2015,--,--,,
S-391,SA-391-2015R (1536),7/20/2015,C,Yes,,B
S-391,803,8/24/1999,C,Yes,Report,A
S-391,1955,8/23/2010,C,Yes,View,B
S-391,2378,8/18/2015,C,Yes,View,A
S-392,805,8/25/1999,B,Yes,Report,B
S-392,1541,8/7/2006,B,No,View,C
S-392,1631,8/7/2007,B,Indeterminate,View,I
S-393,SA-393-2003,7/3/2003,--,--,Report,
S-393,SA-393-2003R (190),7/1/2003,B,Yes,,A
S-393,SA-393-2006,6/20/2006,--,--,,
S-393,SA-393-2006R (528),6/20/2006,B,Yes,,A
S-393,SA-393-2011,6/20/2011,--,--,,
S-393,SA-393-2011R (1052),6/20/2011,B,Yes,,A
S-393,SA-393-2017,7/25/2017,--,--,,
S-393,SA-393-2017 (1699),7/25/2017,--,--,,
S-393,SA-393-2017R (1699),7/25/2017,--,--,,
S-393,806,8/25/1999,B,No,Report,C
S-393,1542,8/7/2006,B,No,View,NA
S-393,1632,8/7/2007,B,Yes,View,B
S-393,2021,8/8/2011,--,--,,
S-393,2090,8/6/2012,B,No,View,C
S-393,2184,8/15/2013,B,Yes,View,B
S-393,2550,8/1/2017,B,No,View,C
S-394,SA-394-1999,7/29/1999,--,--,Report,
S-394,SA-394-1999F (10),7/29/1999,B,Yes,,B
S-394,SA-394-2000,7/12/2000,--,--,,
S-394,SA-394-2000F (26),7/12/2000,B,Yes,,B
S-394,SA-394-2000P (25),7/12/2000,--,--,,
S-394,SA-394-2005,6/29/2005,--,--,,
S-394,SA-394-2005R (394),6/29/2005,B,Yes,,B
S-394,SA-394-2005VB,8/3/2005,--,--,,
S-394,SA-394-2010,7/6/2010,--,--,,
S-394,SA-394-2010R (963),7/6/2010,B,Yes,,B
S-394,811,8/25/1999,B,Yes,Report,B
S-394,1343,8/18/2005,B,Yes,,B
S-394,1948,8/19/2010,B,Yes,View,B
S-395,813,8/25/1999,B,Yes,Report,B
S-396,817,9/21/1998,AA,Yes,Report,A
S-396,1128,8/17/2000,AA,Yes,,A
S-397,818,8/26/1998,B,Yes,Report,A
S-398,819,8/27/1998,B,Yes,Report,A
S-399,821,8/26/1998,C,Indeterminate,Report,I
S-399,1125,9/27/2000,C,No,,NA
S-399,1126,8/22/2000,C,No,,NA
S-399,1628,8/17/2007,C,Indeterminate,View,I
S-399,1716,8/7/2008,C,Indeterminate,View,I
S-400,822,8/26/1998,C,Yes,Report,C
S-401,840,9/13/1999,B,Yes,Report,B
S-402,841,9/13/1999,A,No,Report,B
S-403,842,9/13/1999,B,Yes,Report,B
S-404,843,8/17/1999,B,Yes,Report,A
S-405,SA-405-2007,7/16/2007,--,--,Report,
S-405,SA-405-2007R (710),7/16/2007,B,Yes,,B
S-405,844,8/17/1999,B,Yes,Report,B
S-405,2581,8/22/2017,B,Yes,View,A
S-406,845,7/26/1999,B,Yes,Report,A
S-406,2451,8/4/2010,B,Yes,View,A
S-407,846,8/24/1999,B,Yes,Report,A
S-407,2438,9/25/2009,B,Yes,View,A
S-407,2439,8/3/2010,B,Yes,View,A
S-407,2440,8/21/2013,B,Yes,View,A
S-407,2441,8/20/2014,B,Yes,View,A
S-407,2442,7/1/2015,B,Yes,View,A
S-408,849,8/31/1999,C,Yes,Report,C
S-408,2400,8/27/2015,C,No,View,NA
S-409,853,9/2/1999,B,No,Report,NA
S-409,1943,8/18/2010,B,No,View,NA
S-409,2241,9/9/2013,B,No,View,C
S-409,2711,7/9/2018,B,No,,NA
S-410,852,8/31/1999,C,Yes,Report,C
S-411,854,9/2/1999,B,No,Report,C
S-411,1942,8/18/2010,B,No,View,NA
S-411,2397,8/27/2015,B,No,View,C
S-411,2710,7/9/2018,B,No,,NA
S-412,855,8/31/1999,C,Yes,Report,C
S-412,1930,8/16/2010,C,Yes,View,C
S-412,2396,8/26/2015,C,No,View,NA
S-413,SA-413-2000,7/16/2000,--,--,Report,
S-413,SA-413-2000B (102),7/16/2000,--,--,,
S-413,856,9/3/1999,C,Indeterminate,Report,I
S-413,1681,8/27/2007,C,Yes,View,B
S-413,1967,8/30/2010,C,Yes,View,C
S-414,850,9/2/1999,C,No,Report,NA
S-414,1933,8/16/2010,C,No,View,NA
S-414,2244,9/9/2013,C,Indeterminate,,I
S-414,2399,8/27/2015,C,No,View,NA
S-414,2709,7/9/2018,C,No,,NA
S-415,851,9/2/1999,C,Yes,Report,C
S-415,1926,8/13/2010,C,No,View,NA
S-415,2243,9/9/2013,C,No,View,NA
S-415,2708,7/9/2018,C,No,,NA
S-416,858,9/20/1994,A,No,Report,B
S-417,859,9/20/1994,A,No,Report,C
S-417,862,9/10/1996,A,No,,C
S-417,1997,8/24/2010,A,Indeterminate,View,I
S-418,860,9/20/1994,B,No,Report,C
S-418,864,9/10/1996,B,No,,C
S-418,1998,8/24/2010,B,Yes,View,B
S-419,861,8/29/1995,A,No,Report,B
S-420,863,9/10/1996,B,Yes,Report,B
S-421,865,9/10/1996,A,No,Report,B
S-422,SA-422-2000,7/11/2000,--,--,Report,
S-422,SA-422-2000P (27),7/11/2000,--,--,,
S-422,SA-422-2001,7/9/2001,--,--,,
S-422,SA-422-2001L (45),7/9/2001,--,--,,
S-422,SA-422-2001P (46),7/9/2001,--,--,,
S-422,878,8/17/2000,B,No,Report,NA
S-422,1015,8/21/2001,B,No,,NA
S-422,2103,8/13/2012,B,No,View,NA
S-422,2263,8/12/2014,B,No,View,NA
S-423,SA-423-2000,7/11/2000,--,--,Report,
S-423,SA-423-2000P (28),7/11/2000,--,--,,
S-423,SA-423-2001,7/9/2001,--,--,,
S-423,SA-423-2001P (48),7/9/2001,--,--,,
S-423,SA-423-2001R (47),7/9/2001,B,No,,NA
S-423,879,8/17/2000,B,No,Report,NA
S-424,SA-424-2000,7/11/2000,--,--,Report,
S-424,SA-424-2000P (29),7/11/2000,--,--,,
S-424,SA-424-2001,7/9/2001,--,--,,
S-424,SA-424-2001P (50),7/9/2001,--,--,,
S-424,SA-424-2001S (49),7/9/2001,--,--,,
S-424,880,8/17/2000,B,No,Report,NA
S-424,1017,8/21/2001,B,No,,NA
S-425,SA-425-2016,7/5/2016,--,--,Report,
S-425,SA-425-2016 (1625),7/5/2016,--,--,,
S-425,SA-425-2016R (1625),7/5/2016,--,--,,
S-425,881,8/17/2000,B,Yes,Report,A
S-425,1558,8/11/2006,B,Yes,View,B
S-425,2048,8/22/2011,B,Yes,View,B
S-425,2479,8/11/2016,B,Yes,View,B
S-425,2554,8/7/2017,B,Yes,View,A
S-426,SA-426-2016,7/5/2016,--,--,Report,
S-426,SA-426-2016 (1626),7/5/2016,--,--,,
S-426,SA-426-2016R (1626),7/5/2016,--,--,,
S-426,882,8/17/2000,B,No,Report,C
S-426,1559,8/11/2006,B,Yes,View,B
S-426,2049,8/22/2011,B,No,View,C
S-426,2480,8/11/2016,B,No,,NA
S-426,2555,8/7/2017,B,No,View,C
S-427,SA-427-2000,7/13/2000,--,--,Report,
S-427,SA-427-2000P (34),7/13/2000,--,--,,
S-427,883,8/21/2000,B,Yes,Report,B
S-428,SA-428-2000,7/13/2000,--,--,Report,
S-428,SA-428-2000P (35),7/13/2000,--,--,,
S-428,884,8/21/2000,B,No,Report,C
S-429,885,8/21/2000,B,Yes,Report,B
S-430,SA-430-2000,7/13/2000,--,--,Report,
S-430,SA-430-2000F (33),7/13/2000,--,--,,B
S-430,SA-430-2000P (32),7/13/2000,--,--,,
S-430,SA-430-2007,7/10/2007,--,--,,
S-430,SA-430-2007R (703),7/10/2007,B,Yes,,B
S-430,SA-430-2012,7/19/2012,--,--,,
S-430,SA-430-2012 (1154),7/19/2012,--,--,,
S-430,SA-430-2012R (1154),7/19/2012,B,Yes,,B
S-430,SA-430-2017,6/27/2017,--,--,,
S-430,SA-430-2017 (1667),6/27/2017,--,--,,
S-430,SA-430-2017R (1667),6/27/2017,--,--,,
S-430,886,8/21/2000,B,Yes,Report,B
S-430,1678,8/23/2007,B,Yes,View,B
S-430,2097,8/8/2012,B,Yes,View,B
S-430,2474,8/9/2016,B,Yes,View,B
S-431,SA-431-2000,7/13/2000,--,--,Report,
S-431,SA-431-2000F (31),7/13/2000,--,--,,B
S-431,SA-431-2000P (30),7/13/2000,--,--,,
S-431,887,8/21/2000,B,Yes,Report,A
S-432,891,8/22/2000,B,No,Report,NA
S-433,892,8/22/2000,B,No,Report,C
S-434,893,8/22/2000,B,Yes,Report,B
S-434,1337,8/16/2005,B,No,,C
S-435,894,8/22/2000,B,Yes,Report,A
S-435,1338,8/16/2005,B,Yes,,B
S-436,895,8/23/2000,A,Yes,Report,A
S-436,1324,8/11/2005,A,Yes,,A
S-436,1976,8/31/2010,A,Yes,View,A
S-436,2382,8/19/2015,A,Yes,View,A
S-437,896,8/23/2000,A,Yes,Report,A
S-437,1325,8/11/2005,A,Yes,,A
S-437,1507,9/22/2005,A,Yes,,A
S-437,1975,8/31/2010,A,Yes,View,A
S-437,2383,8/19/2015,A,No,View,B
S-438,897,8/23/2000,B,Yes,Report,B
S-438,1326,8/11/2005,A,No,,B
S-439,SA-439-2003,7/17/2003,--,--,Report,
S-439,SA-439-2003R (217),7/17/2003,B,Yes,,A
S-439,SA-439-2005,6/30/2005,--,--,,
S-439,SA-439-2005R (398),6/30/2005,B,Yes,,B
S-439,SA-439-2005VB2,8/4/2005,--,--,,
S-439,SA-439-2010,6/24/2010,--,--,,
S-439,SA-439-2010R (938),6/24/2010,B,Yes,,A
S-439,SA-439-2010R (939),6/24/2010,B,Yes,,A
S-439,SA-439-2015,7/13/2015,--,--,,
S-439,SA-439-2015R (1527),7/13/2015,B,Yes,,A
S-439,898,8/24/2000,B,Yes,Report,A
S-439,1355,8/23/2005,B,Yes,,A
S-439,1934,8/17/2010,B,Yes,View,B
S-439,2363,8/12/2015,B,Yes,View,A
S-440,SA-440-2003,7/17/2003,--,--,Report,
S-440,SA-440-2003R (219),7/17/2003,B,Yes,,A
S-440,SA-440-2005VB,8/4/2005,--,--,,
S-440,SA-440-2010,6/24/2010,--,--,,
S-440,SA-440-2010R (940),6/24/2010,B,Yes,,B
S-440,SA-440-2015,7/9/2015,--,--,,
S-440,SA-440-2015R (1524),7/9/2015,B,Yes,,B
S-440,899,8/24/2000,B,Yes,Report,A
S-440,1342,8/17/2005,B,Yes,,A
S-440,1936,8/17/2010,B,Yes,View,A
S-440,2364,8/12/2015,B,Yes,View,A
S-442,903,8/25/2000,A,Yes,Report,A
S-443,904,8/25/2000,A,Yes,Report,A
S-444,906,8/25/2000,A,No,Report,C
S-444,1248,8/20/2003,A,No,,B
S-444,1714,8/6/2008,A,Yes,View,A
S-444,2216,8/21/2013,A,Yes,View,A
S-444,2682,8/28/2018,A,Yes,,A
S-445,SA-445-2015,7/7/2015,--,--,Report,
S-445,SA-445-2015R (1521),7/7/2015,B,Yes,,A
S-445,907,8/29/2000,B,Indeterminate,Report,I
S-445,1357,8/24/2005,B,No,,C
S-445,1965,8/25/2010,B,Yes,View,B
S-445,2366,8/13/2015,B,No,View,C
S-446,SA-446-2005,7/21/2005,--,--,Report,
S-446,SA-446-2005R (435),7/21/2005,B,Yes,,A
S-446,SA-446-2005VB2,8/18/2005,--,--,,
S-446,SA-446-2010,7/20/2010,--,--,,
S-446,SA-446-2010R (982),7/20/2010,B,Yes,,A
S-446,SA-446-2015,7/7/2015,--,--,,
S-446,SA-446-2015R (1520),7/7/2015,B,Yes,,A
S-446,908,8/29/2000,B,No,Report,C
S-446,1498,8/24/2005,B,No,,C
S-446,1964,8/25/2010,B,Yes,View,B
S-446,2155,9/3/2012,B,No,View,C
S-446,2365,8/13/2015,B,Yes,View,B
S-447,SA-447-2005,7/21/2005,--,--,Report,
S-447,SA-447-2005R (433),7/21/2005,B,Yes,,A
S-447,SA-447-2005VB2,8/18/2005,--,--,,
S-447,SA-447-2010,7/20/2010,--,--,,
S-447,SA-447-2010R (980),7/20/2010,B,Yes,,A
S-447,SA-447-2015,7/7/2015,--,--,,
S-447,SA-447-2015R (1519),7/7/2015,B,Yes,,A
S-447,909,8/29/2000,B,Yes,Report,A
S-447,1497,8/24/2005,B,Yes,,B
S-447,1963,8/25/2010,B,Yes,View,A
S-447,2367,8/13/2015,B,Yes,View,A
S-448,SA-448-2003,7/10/2003,--,--,Report,
S-448,SA-448-2003L (210),7/10/2003,--,--,,
S-448,SA-448-2003P (209),7/10/2003,--,--,,
S-448,910,8/29/2000,B,No,Report,C
S-448,1560,8/14/2006,B,No,View,NA
S-448,1940,8/18/2010,B,No,View,C
S-448,2194,8/8/2013,B,Yes,View,B
S-449,929,8/29/2000,B,Yes,Report,B
S-449,1561,8/14/2006,B,No,View,C
S-449,1939,8/18/2010,B,Indeterminate,View,I
S-450,912,8/30/2000,B,No,Report,NA
S-451,SA-451-2010,7/19/2010,--,--,Report,
S-451,SA-451-2010 (976),7/19/2010,--,--,,
S-451,SA-451-2010R (976),7/19/2010,B,No,,NA
S-451,SA-451-2010R (977),7/19/2010,B,Yes,,B
S-451,SA-451-2015,6/29/2015,--,--,,
S-451,SA-451-2015R (1509),6/29/2015,B,No,,C
S-451,913,8/30/2000,B,Yes,Report,B
S-451,1332,8/15/2005,B,Yes,,A
S-451,1960,8/24/2010,B,Yes,View,A
S-451,2391,8/24/2015,B,No,View,NA
S-452,914,8/30/2000,B,Yes,Report,A
S-453,918,8/31/2000,A,Yes,Report,A
S-454,916,8/30/2000,C,No,Report,NA
S-455,SA-455-2016,6/28/2016,--,--,Report,
S-455,SA-455-2016 (1620),6/28/2016,--,--,,
S-455,SA-455-2016R (1620),6/28/2016,--,--,,
S-455,936,8/25/2000,AA,Yes,Report,A
S-455,1108,8/31/2001,AA,Yes,,A
S-455,1197,9/6/2002,AA,Yes,,A
S-455,1282,8/28/2003,AA,No,,C
S-455,1429,9/1/2004,AA,Yes,,A
S-455,1511,9/12/2005,AA,Yes,View,A
S-455,1594,8/31/2006,AA,No,View,B
S-455,1756,9/10/2008,AA,Yes,View,A
S-455,2304,9/4/2014,AA,No,View,B
S-455,2415,9/16/2015,AA,Yes,View,A
S-455,2695,9/5/2018,AA,Yes,,A
S-456,937,8/8/2000,C,Yes,Report,B
S-457,760,9/24/1998,B,No,Report,NA
S-457,869,9/22/1999,B,No,,C
S-457,993,9/11/2000,B,No,,NA
S-457,1116,8/7/2001,B,No,,C
S-457,1205,7/31/2002,B,No,,NA
S-457,1231,8/14/2003,B,No,,NA
S-457,1297,9/30/2003,B,No,,NA
S-457,2349,8/5/2015,B,No,View,C
S-458,SA-458-2004,7/29/2004,--,--,Report,
S-458,SA-458-2004R (304),7/29/2004,B,Yes,,B
S-458,SA-458-2005VB2,8/24/2005,--,--,,
S-458,SA-458-2009,7/20/2009,--,--,,
S-458,SA-458-2009R (886),7/20/2009,B,Yes,,B
S-458,777,8/17/1999,B,Yes,Report,B
S-458,1393,8/17/2004,B,Yes,,A
S-459,832,9/14/1999,B,Yes,Report,B
S-459,872,6/21/2000,B,Yes,,B
S-459,922,9/8/2000,B,Yes,,A
S-459,1058,8/28/2001,B,Yes,,A
S-459,1186,9/4/2002,B,Yes,,B
S-460,875,6/22/2000,B,Yes,Report,A
S-461,874,6/22/2000,B,Indeterminate,Report,I
S-461,1057,8/27/2001,B,No,,C
S-462,923,8/17/2000,A,No,Report,B
S-463,SA-463-2014,7/28/2014,--,--,Report,
S-463,SA-463-2014 (1404),7/28/2014,--,--,,
S-463,SA-463-2014R (1404),7/28/2014,B,No,,C
S-463,947,8/13/1999,B,Yes,Report,B
S-463,969,8/25/2000,B,Yes,,B
S-463,1824,8/18/2004,B,Yes,,A
S-463,2292,8/22/2014,B,Yes,View,A
S-464,SA-464-2002,8/15/2002,--,--,Report,
S-464,SA-464-2002P (189),8/15/2002,--,--,,
S-464,SA-464-2002R (188),8/15/2002,B,Yes,,B
S-464,949,8/16/1999,B,Yes,Report,A
S-464,964,8/25/2000,B,Yes,,A
S-464,1825,8/18/2004,B,Yes,,A
S-465,948,8/16/1999,B,Yes,Report,B
S-465,963,8/25/2000,B,Yes,,A
S-466,SA-466-1999,7/1/1999,--,--,Report,
S-466,SA-466-1999F (2),7/1/1999,B,Yes,,B
S-466,SA-466-2005VB,7/28/2005,--,--,,
S-466,SA-466-2005VB2,8/24/2005,--,--,,
S-466,SA-466-2017,8/3/2017,--,--,,
S-466,SA-466-2017R (1709),8/3/2017,--,--,,
S-466,946,8/13/1999,B,Yes,Report,A
S-466,971,8/24/2000,B,Yes,,A
S-467,SA-467-1999,7/1/1999,--,--,Report,
S-467,SA-467-1999F (1),7/1/1999,--,--,,B
S-467,SA-467-2004,7/28/2004,--,--,,
S-467,SA-467-2004R (297),7/28/2004,B,Yes,,B
S-467,945,8/16/1999,B,Yes,Report,B
S-467,962,8/25/2000,B,Yes,,A
S-468,955,8/13/1999,B,Yes,Report,A
S-469,920,8/31/2000,B,Yes,Report,B
S-469,1328,8/15/2005,B,Yes,,B
S-470,957,8/10/2000,B,Yes,Report,A
S-471,958,8/10/2000,B,Yes,Report,A
S-472,959,8/10/2000,B,No,Report,C
S-473,960,8/10/2000,B,No,Report,C
S-474,SA-474-2010,6/29/2010,--,--,Report,
S-474,SA-474-2010C (944),6/29/2010,--,--,,
S-474,SA-474-2010L (945),6/29/2010,--,--,,
S-474,SA-474-2010R (943),6/29/2010,B,No,,C
S-474,SA-474-2010R (946),6/29/2010,B,No,,C
S-474,SA-474-2015,7/1/2015,--,--,,
S-474,SA-474-2015R (1515),7/1/2015,B,No,,C
S-474,961,8/10/2000,B,Yes,Report,B
S-474,1351,8/22/2005,B,Yes,,B
S-474,1970,8/30/2010,B,No,View,NA
S-474,2356,8/10/2015,B,No,View,NA
S-475,988,8/29/2000,B,No,Report,NA
S-475,1110,8/28/2001,B,No,,C
S-475,1219,9/12/2002,B,No,,NA
S-475,1292,9/9/2003,B,No,,C
S-475,1489,9/7/2004,B,No,,C
S-475,1520,9/7/2005,B,No,,NA
S-475,2588,8/24/2017,B,Indeterminate,View,I
S-476,989,9/11/2000,B,Yes,Report,B
S-476,1111,8/28/2001,B,Yes,,B
S-476,1218,9/12/2002,B,No,,C
S-476,1293,9/9/2003,B,Yes,,B
S-476,1490,9/7/2004,B,No,,C
S-476,1521,9/7/2005,B,Yes,,B
S-477,996,8/10/2000,A,Yes,Report,A
S-478,1000,8/14/2001,B,Yes,Report,A
S-478,1635,8/8/2007,B,No,View,C
S-478,1916,8/10/2010,B,No,View,C
S-478,2091,8/6/2012,B,Indeterminate,View,I
S-478,2185,8/5/2013,B,Yes,View,A
S-479,1007,8/17/2001,B,No,Report,NA
S-479,2313,8/27/2014,B,No,View,NA
S-480,SA-480-2001,7/11/2001,--,--,Report,
S-480,SA-480-2001P (70),7/11/2001,--,--,,
S-480,SA-480-2001R (69),7/11/2001,B,No,,C
S-480,SA-480-2005VB,7/27/2005,--,--,,
S-480,SA-480-2005VB2,8/25/2005,--,--,,
S-480,SA-480-2006,7/18/2006,--,--,,
S-480,SA-480-2006R (555),7/18/2006,B,No,,C
S-480,SA-480-2011,6/21/2011,--,--,,
S-480,SA-480-2011R (1054),6/21/2011,--,--,,
S-480,SA-480-2011RO (1053),6/21/2011,B,No,,C
S-480,SA-480-2011RS (1054),6/21/2011,B,No,,C
S-480,SA-480-2016,7/12/2016,--,--,,
S-480,SA-480-2016R (1636),7/12/2016,--,--,,
S-480,1008,8/17/2001,B,No,Report,C
S-480,1551,8/9/2006,B,No,View,NA
S-480,2036,8/15/2011,B,No,View,NA
S-481,SA-481-2016,7/25/2016,--,--,Report,
S-481,SA-481-2016R (1649),7/25/2016,--,--,,
S-481,1009,8/17/2001,B,Yes,Report,A
S-482,1010,8/20/2001,A,No,Report,B
S-482,1574,8/17/2006,A,Yes,View,A
S-482,2043,8/17/2011,A,Yes,View,A
S-482,2488,8/16/2016,A,Yes,View,A
S-483,1011,8/20/2001,A,No,Report,C
S-484,1012,8/20/2001,A,No,Report,B
S-484,1573,8/17/2006,A,Yes,View,A
S-484,2044,8/17/2011,A,Yes,View,A
S-484,2487,8/16/2016,A,Yes,View,A
S-485,1014,8/20/2001,B,Yes,Report,B
S-486,SA-486-2001,7/5/2001,--,--,Report,
S-486,SA-486-2001R (41),7/5/2001,B,Yes,,A
S-486,SA-486-2004,7/7/2004,--,--,,
S-486,SA-486-2004B,8/2/2004,--,--,,
S-486,SA-486-2004R (258),7/7/2004,B,Yes,,A
S-486,SA-486-2007,7/17/2007,--,--,,
S-486,SA-486-2007R (711),7/17/2007,B,Yes,,A
S-486,SA-486-2012,7/2/2012,--,--,,
S-486,SA-486-2012 (1142),7/2/2012,--,--,,
S-486,SA-486-2012R (1142),7/2/2012,B,Yes,,A
S-486,SA-486-2014,6/30/2014,--,--,,
S-486,SA-486-2014 (1375),6/30/2014,--,--,,
S-486,SA-486-2014R (1375),6/30/2014,B,Yes,,A
S-486,SA-486-2017R (1684),7/13/2017,--,--,,
S-486,SA-486-2018,7/19/2018,--,--,,
S-486,1018,8/21/2001,B,Yes,Report,A
S-486,1662,8/16/2007,B,Yes,View,A
S-486,2113,8/16/2012,B,Yes,View,A
S-486,2198,8/13/2013,B,Yes,View,A
S-486,2255,8/6/2014,B,Yes,View,A
S-486,2344,8/4/2015,B,Yes,View,A
S-486,2481,8/11/2016,B,Yes,View,A
S-486,2561,8/9/2017,B,Yes,View,A
S-486,2648,8/8/2018,B,Yes,,A
S-487,SA-487-2001,7/5/2001,--,--,Report,
S-487,SA-487-2001R (42),7/5/2001,B,Yes,,B
S-487,1019,8/21/2001,B,Yes,Report,A
S-488,SA-488-2001,7/5/2001,--,--,Report,
S-488,SA-488-2001P (44),7/5/2001,--,--,,
S-488,SA-488-2001R (43),7/5/2001,B,Yes,,A
S-488,SA-488-2007,7/17/2007,--,--,,
S-488,SA-488-2007R (713),7/17/2007,B,Yes,,A
S-488,SA-488-2017,7/13/2017,--,--,,
S-488,SA-488-2017 (1685),7/13/2017,--,--,,
S-488,SA-488-2017R (1685),7/13/2017,--,--,,
S-488,1020,8/21/2001,B,Yes,Report,A
S-488,1663,8/16/2007,B,Yes,View,A
S-488,2562,8/9/2017,B,Yes,View,A
S-489,1021,8/22/2001,B,No,Report,NA
S-489,1157,8/20/2002,B,No,,NA
S-489,1638,8/8/2007,B,No,View,NA
S-489,2095,8/7/2012,B,No,View,NA
S-489,2570,8/15/2017,B,No,View,C
S-490,1022,8/22/2001,B,No,Report,C
S-491,1023,8/22/2001,B,No,Report,NA
S-492,SA-492-2004,7/13/2004,--,--,Report,
S-492,SA-492-2004R (276),7/13/2004,A,Yes,,A
S-492,SA-492-2011,6/28/2011,--,--,,
S-492,SA-492-2011R (1063),6/28/2011,A,Yes,,A
S-492,1611,7/28/1997,A,No,Report,B
S-492,1024,8/23/2001,A,Yes,,A
S-492,2061,8/26/2011,A,No,View,B
S-493,SA-493-2004,7/13/2004,--,--,Report,
S-493,SA-493-2004R (277),7/13/2004,A,No,,B
S-493,SA-493-2011,6/28/2011,--,--,,
S-493,SA-493-2011R (1064),6/28/2011,A,Yes,,A
S-493,1025,8/23/2001,A,Yes,Report,A
S-493,2062,8/26/2011,A,Yes,View,A
S-494,SA-494-2011,6/29/2011,--,--,Report,
S-494,SA-494-2011R (1065),6/29/2011,AA,Yes,,A
S-494,1026,8/23/2001,AA,Yes,Report,A
S-494,1586,8/23/2006,AA,Yes,,A
S-494,2056,8/24/2011,AA,Yes,View,A
S-494,2509,8/24/2016,AA,Yes,View,A
S-495,SA-495-2006,7/11/2006,--,--,Report,
S-495,SA-495-2006R (547),7/11/2006,AA,Yes,,A
S-495,1027,8/23/2001,AA,Yes,Report,A
S-496,1030,8/24/2001,B,Indeterminate,Report,I
S-496,2139,8/29/2012,B,Indeterminate,View,I
S-497,1031,8/24/2001,B,Indeterminate,Report,I
S-497,2140,8/29/2012,B,Indeterminate,View,I
S-497,2692,8/30/2018,B,No,,NA
S-498,SA-498-2001,7/20/2001,--,--,Report,
S-498,SA-498-2001P (56),7/20/2001,--,--,,
S-498,SA-498-2001R (61),7/20/2001,B,No,,NA
S-498,SA-498-2010,7/8/2010,--,--,,
S-498,SA-498-2010 (968),7/8/2010,--,--,,
S-498,SA-498-2010 (969),7/8/2010,--,--,,
S-498,SA-498-2010 (970),7/8/2010,--,--,,
S-498,SA-498-2010 (979),7/8/2010,--,--,,
S-498,SA-498-2010C (969),7/8/2010,--,--,,
S-498,SA-498-2010C (979),7/8/2010,--,--,,
S-498,SA-498-2010R (968),7/8/2010,B,No,,NA
S-498,SA-498-2010R (970),7/8/2010,B,No,,NA
S-498,1032,8/24/2001,B,Indeterminate,Report,I
S-498,1922,8/11/2010,B,No,View,NA
S-498,2141,8/29/2012,B,Indeterminate,View,I
S-498,2693,8/30/2018,B,Yes,,A
S-499,SA-499-2003,7/29/2003,--,--,Report,
S-499,SA-499-2003R (238),7/29/2003,AA,Yes,,A
S-499,SA-499-2006,7/11/2006,--,--,,
S-499,SA-499-2006R (550),7/11/2006,AA,Yes,,A
S-499,1033,8/27/2001,AA,Yes,Report,A
S-500,1035,8/27/2001,AA,Yes,Report,A
S-501,SA-501-2003,7/29/2003,--,--,Report,
S-501,SA-501-2003R (239),7/29/2003,AA,Yes,,A
S-501,1034,8/27/2001,AA,Yes,Report,A
S-501,1587,8/23/2006,AA,Yes,,A
S-501,2055,8/24/2011,AA,Yes,View,A
S-501,2510,8/24/2016,AA,Yes,View,A
S-502,SA-502-2011,6/29/2011,--,--,Report,
S-502,SA-502-2011R (1067),6/29/2011,AA,Yes,,A
S-502,1036,8/27/2001,AA,Yes,Report,A
S-502,2059,8/25/2011,AA,No,View,B
S-502,2504,8/23/2016,AA,Yes,View,A
S-503,SA-503-2004,7/14/2004,--,--,Report,
S-503,SA-503-2004R (274),7/14/2004,A,No,,B
S-503,SA-503-2016,7/6/2016,--,--,,
S-503,SA-503-2016R (1628),7/6/2016,--,--,,
S-503,1038,8/27/2001,A,No,Report,B
