Station Number,Sample ID,Sample Date,Statutory Class,Attained Class,Report,Final Determination
S-29,174,9/5/1985,B,No,,NA
S-29,1214,9/2/1988,B,Indeterminate,,I
S-29,240,9/2/1988,B,No,,NA
S-29,242,9/2/1988,B,No,,NA
S-29,342,10/3/1990,B,No,,NA
S-29,389,9/14/1992,B,No,,NA
S-30,33,9/12/1983,B,Yes,Report,B
S-30,310,8/28/1991,B,Yes,,B
S-30,361,8/20/1992,B,Yes,,B
S-30,628,8/27/1997,B,Yes,,B
S-30,1138,8/13/2002,B,Yes,,B
S-30,1636,8/8/2007,B,Yes,View,B
S-30,2092,8/7/2012,B,Yes,View,B
S-30,2572,8/15/2017,B,Yes,View,B
S-31,34,9/12/1983,B,No,Report,C
S-31,362,8/20/1992,B,Yes,,B
S-31,629,8/27/1997,B,Yes,,B
S-32,35,9/12/1983,C,Yes,Report,C
S-32,341,10/2/1990,C,Yes,,B
S-33,36,9/13/1983,C,Yes,Report,C
S-33,325,9/9/1991,C,Yes,,B
S-33,617,8/20/1997,C,Yes,,B
S-34,SA-34-2007,7/12/2007,--,--,Report,
S-34,SA-34-2007R (708),7/12/2007,C,Yes,,B
S-34,SA-34-2012,7/23/2012,--,--,,
S-34,SA-34-2012R (1162),7/23/2012,C,Yes,,B
S-34,37,9/13/1983,C,Yes,Report,C
S-34,326,9/9/1991,C,Yes,,B
S-34,618,8/20/1997,C,Yes,,A
S-34,1657,8/15/2007,C,Yes,View,B
S-34,2123,8/21/2012,C,Yes,View,A
S-35,38,9/15/1983,C,Yes,Report,B
S-36,39,9/15/1983,C,Yes,Report,C
S-37,40,9/14/1983,A,Indeterminate,Report,I
S-37,2175,9/16/2010,A,Yes,View,A
S-38,41,9/14/1983,B,No,Report,C
S-39,42,9/14/1983,A,No,Report,C
S-40,43,9/14/1983,A,No,Report,B
S-40,1533,9/16/2005,A,Yes,,A
S-40,1613,8/24/2006,A,Yes,,A
S-41,SA-41-2018,6/19/2018,--,--,Report,
S-41,SA-41-2018R (1729),6/19/2018,--,--,,
S-41,45,9/30/1983,C,Yes,Report,C
S-41,482,9/8/1994,C,Yes,,B
S-41,728,8/27/1998,C,Yes,,A
S-41,1263,8/26/2003,C,Yes,,B
S-41,2668,8/20/2018,C,Yes,,A
S-42,46,9/30/1983,B,Yes,Report,B
S-42,481,9/8/1994,B,Yes,,B
S-42,712,8/20/1998,C,Yes,,B
S-43,SA-43-2003,7/7/2003,--,--,Report,
S-43,SA-43-2003R (197),7/7/2003,C,Yes,,A
S-43,SA-43-2008,7/7/2003,--,--,,
S-43,SA-43-2008,7/7/2008,--,--,,
S-43,SA-43-2008R (748),7/7/2008,C,Yes,,A
S-43,SA-43-2013,7/18/2013,--,--,,
S-43,SA-43-2013R (1359),7/18/2013,C,Yes,,A
S-43,SA-43-2018,7/9/2018,--,--,,
S-43,SA-43-2018 (1750),7/9/2018,--,--,,
S-43,SA-43-2018R (1750),7/9/2018,--,--,,
S-43,47,10/19/1983,C,Yes,Report,A
S-43,97,9/5/1984,C,Yes,,A
S-43,162,8/27/1985,C,Yes,,B
S-43,183,9/4/1986,C,Yes,,A
S-43,188,8/20/1987,C,Yes,,C
S-43,366,8/25/1992,C,Yes,,B
S-43,709,8/19/1998,C,Yes,,B
S-43,1238,8/18/2003,C,Yes,,B
S-43,1727,8/18/2008,C,Yes,View,B
S-43,2209,8/19/2013,C,Yes,View,A
S-43,2662,8/15/2018,C,Yes,,A
S-44,48,10/19/1983,B,Yes,Report,A
S-45,49,10/19/1983,C,Yes,Report,B
S-46,50,10/19/1983,C,Yes,Report,C
S-46,99,9/5/1984,C,Yes,,C
S-46,161,8/27/1985,C,Yes,,C
S-46,184,9/4/1986,C,Yes,,B
S-46,187,8/20/1987,C,Yes,,C
S-46,367,8/25/1992,C,Yes,,A
S-47,SA-47-2004,7/28/2004,--,--,Report,
S-47,SA-47-2004R (310),7/28/2004,C,No,,NA
S-47,SA-47-2014,7/30/2014,--,--,,
S-47,SA-47-2014 (1416),7/30/2014,--,--,,
S-47,SA-47-2014R (1416),7/30/2014,C,Yes,,C
S-47,51,9/21/1983,C,Yes,Report,B
S-47,1383,8/17/2004,C,Yes,,B
S-47,2270,8/19/2014,C,Yes,View,C
S-48,SA-48-2015,6/30/2015,--,--,Report,
S-48,SA-48-2015R (1511),6/30/2015,B,Yes,,B
S-48,53,8/20/1984,B,Yes,Report,A
S-48,181,8/7/1986,B,Yes,,A
S-48,469,8/29/1994,B,Yes,,A
S-48,505,8/22/1995,B,No,,C
S-48,700,8/17/1998,B,Yes,,B
S-48,888,8/22/2000,B,Yes,,A
S-48,1335,8/16/2005,B,No,,C
S-48,1958,8/24/2010,B,No,View,C
S-48,2385,8/20/2015,B,Yes,View,B
S-49,54,8/20/1984,B,No,Report,NA
S-49,182,8/7/1986,B,No,,NA
S-49,470,8/29/1994,B,No,,C
