FID,FID_1,Station_Nu,Station,Town,County,Major_Drai,Site_Type,Sample_Typ,Latitude,Longitude,PctImperv
52,113,S-1040,TROUT BROOK - STATION 1040,CAPE ELIZABETH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.619782000000001,-70.249168999999995,0.1730000
53,90,S-692,UNNAMED STREAM (CAPE ELIZABETH) - STATION 692,CAPE ELIZABETH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.619222940000000,-70.217018690000003,0.1000000
54,83,S-638,NASON'S BROOK - STATION 638,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.670712039999998,-70.319216069999996,0.3210000
55,28,S-256,CAPISIC BROOK - STATION 256,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.684973530000001,-70.302966269999999,0.3070000
56,29,S-257,CAPISIC BROOK - STATION 257,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.670352729999998,-70.308444809999997,0.3070000
57,106,S-931,CAPISIC BROOK - STATION 931,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.686000030000002,-70.310319980000003,0.3070000
58,107,S-932,CAPISIC BROOK - STATION 932,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.685969860000000,-70.312700010000000,0.3070000
59,108,S-933,CAPISIC BROOK - UNNAMED TRIBUTARY - STATION 933,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.679719990000002,-70.317240020000000,0.3070000
60,109,S-934,CAPISIC BROOK - STATION 934,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.677960040000002,-70.315210030000003,0.3070000
61,112,S-1039,CAPISIC BROOK - STATION 1039,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.684300999999998,-70.313998999999995,0.3070000
62,102,S-796,STROUDWATER RIVER - STATION 796,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.638548780000001,-70.446485280000005,0.0220000
63,52,S-385,DOLE BROOK - STATION 385,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.704085370000001,-70.300678800000000,0.2750000
64,53,S-386,DOLE BROOK - STATION 386,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.705048079999997,-70.306311070000007,0.2750000
65,93,S-751,DOLE BROOK - STATION 751,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.717053819999997,-70.309108539999997,0.2750000
66,5,S-72,PRESUMPSCOT RIVER - STATION 72,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.702384870000003,-70.325701800000004,0.3210000
67,0,S-66,STROUDWATER RIVER - STATION 66,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.644781760000001,-70.409495800000002,0.0390000
68,1,S-67,STROUDWATER RIVER - STATION 67,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.643035470000001,-70.411921989999996,0.0390000
69,26,S-240,STROUDWATER RIVER - STATION 240,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.645586629999997,-70.408843959999999,0.0390000
70,65,S-448,MILE BROOK - STATION 448,CASCO,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.012334000000003,-70.529006999999993,0.0260000
71,66,S-449,MILE BROOK - STATION 449,CASCO,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.008891239999997,-70.524746010000001,0.0260000
72,110,S-998,MILE BROOK - STATION 998,CASCO,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.010497999999998,-70.534445000000005,0.0260000
73,75,S-474,TANNERY BROOK - STATION 474,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.701356930000003,-70.436280900000000,0.0430000
74,50,S-382,DOUGLAS BROOK - STATION 382,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.707333210000002,-70.519133089999997,0.0420000
75,51,S-383,DOUGLAS BROOK - STATION 383,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.727144660000000,-70.471037740000000,0.0420000
76,123,S-1075,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1075,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.734043999999997,-70.533506000000003,0.0370000
77,115,S-1067,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1067,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.748427999999997,-70.537809999999993,0.0940000
78,116,S-1068,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1068,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.747782999999998,-70.537558000000004,0.0940000
79,117,S-1069,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1069,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.747211000000000,-70.537270000000007,0.0940000
80,118,S-1070,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1070,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.746988000000002,-70.537103000000002,0.0940000
81,119,S-1071,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1071,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.746558000000000,-70.536893000000006,0.0940000
82,120,S-1072,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1072,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.745041999999998,-70.535190000000000,0.0940000
83,121,S-1073,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1073,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.744957999999997,-70.535386000000003,0.0940000
84,122,S-1074,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1074,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.744706000000001,-70.534039000000007,0.0940000
85,124,S-1076,NORTH BRANCH LITTLE RIVER - UNNAMED TRIBUTARY - STATION 1076,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.749569000000001,-70.535306000000006,0.0940000
86,56,S-395,BAKER BROOK - STATION 395,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.815032930000001,-70.381067340000001,0.0170000
87,71,S-470,TANNERY BROOK - STATION 470,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.686453389999997,-70.441635890000001,0.1430000
88,72,S-471,TANNERY BROOK - STATION 471,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.687505020000003,-70.439517019999997,0.1430000
89,80,S-562,TANNERY BROOK - STATION 562,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.686677549999999,-70.446167299999999,0.1430000
90,101,S-795,KIMBALL BROOK - STATION 795,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.630604110000000,-70.251714379999996,0.4300000
91,46,S-348,MERRILL BROOK - STATION 348,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.851069809999998,-70.133806109999995,0.1190000
