Station Number,Station,Town,County,Major Drainage,Site Type,Sample Type,Latitude,Longitude
S-307,ASHWORTH BROOK - STATION 307,EBEEMEE TWP,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.45694140,-69.08808783
S-308,ALLEN STREAM - STATION 308,EXETER,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.98541700,-69.08795500
S-309,FOOTMAN BROOK - STATION 309,EXETER,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.96474645,-69.18437299
S-310,FRENCH STREAM - STATION 310,EXETER,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.95403685,-69.18269293
S-310,FRENCH STREAM - STATION 310,EXETER,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.95403685,-69.18269293
S-311,CAPEHART BROOK - STATION 311,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.84872024,-68.81046879
S-311,CAPEHART BROOK - STATION 311,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.84872024,-68.81046879
S-312,BIRCH STREAM - STATION 312,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.82373104,-68.80769353
S-313,ARCTIC BROOK - STATION 313,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.81460754,-68.78583392
S-313,ARCTIC BROOK - STATION 313,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.81460754,-68.78583392
S-314,PENJAJAWOC STREAM - STATION 314,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.82957291,-68.74207307
S-314,PENJAJAWOC STREAM - STATION 314,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.82957291,-68.74207307
S-315,PENJAJAWOC STREAM - STATION 315,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.81906968,-68.73123733
S-315,PENJAJAWOC STREAM - STATION 315,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.81906968,-68.73123733
S-316,COLE BROOK - STATION 316,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.93657400,-70.33960135
S-317,COLE BROOK - STATION 317,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.92388526,-70.33948410
S-318,PISCATAQUIS RIVER - STATION 318,HOWLAND,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.24270194,-68.66279927
S-319,WEST BRANCH SEBASTICOOK RIVER - STATION 319,PALMYRA,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.85812123,-69.43383877
S-320,OTTER CREEK - STATION 320,BAR HARBOR,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.33274915,-68.20751413
S-321,HUNTERS BROOK - STATION 321,MOUNT DESERT,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.30929081,-68.22251366
S-321,HUNTERS BROOK - STATION 321,MOUNT DESERT,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.30929081,-68.22251366
S-322,DUCK BROOK - STATION 322,BAR HARBOR,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.39340078,-68.23460591
S-322,DUCK BROOK - STATION 322,BAR HARBOR,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.39340078,-68.23460591
S-323,STANLEY BROOK - STATION 323,MOUNT DESERT,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.29977179,-68.24208240
S-323,STANLEY BROOK - STATION 323,MOUNT DESERT,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.29977179,-68.24208240
S-324,HOUSE BROOK - STATION 324,TURNER,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.32283817,-70.23982233
S-325,PRESUMPSCOT RIVER - STATION 325,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.77718515,-70.45183453
S-326,PRESUMPSCOT RIVER - STATION 326,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.76970713,-70.44581348
S-327,PRESUMPSCOT RIVER - STATION 327,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.74500552,-70.43931412
S-328,PRESUMPSCOT RIVER - STATION 328,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.73993828,-70.43052777
S-329,PRESUMPSCOT RIVER - STATION 329,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.73367099,-70.42380908
S-330,MARE BROOK - UNNAMED TRIBUTARY - STATION 330,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.88502757,-69.92100552
S-331,MARE BROOK - STATION 331,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.88293487,-69.93251886
S-332,MARE BROOK - UNNAMED TRIBUTARY - STATION 332,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.87227493,-69.93752620
S-333,KENNEBEC RIVER - STATION 333,INDIAN STREAM TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.45647521,-69.86947443
S-334,KENNEBEC RIVER - STATION 334,INDIAN STREAM TWP,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.45343836,-69.87228402
S-335,KENNEBEC RIVER - STATION 335,MOXIE GORE,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.43278689,-69.89779307
S-336,KENNEBEC RIVER - STATION 336,WEST FORKS PLT,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.38167249,-69.93415317
S-337,GOOSEFARE BROOK - STATION 337,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.52850818,-70.45137906
S-338,GOOSEFARE BROOK - STATION 338,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.52079265,-70.43558659
S-338,GOOSEFARE BROOK - STATION 338,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.52079265,-70.43558659
S-339,GOOSEFARE BROOK - STATION 339,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.52562278,-70.45082583
S-339,GOOSEFARE BROOK - STATION 339,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.52562278,-70.45082583
S-340,BIRD BROOK - STATION 340,NORWAY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.21206054,-70.53756375
S-341,HART BROOK - STATION 341,LEWISTON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.06986754,-70.19565891
S-341,HART BROOK - STATION 341,LEWISTON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.06986754,-70.19565891
S-342,WHITNEY BROOK - STATION 342,CANTON,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.44224429,-70.31567329
S-343,AUNT HANNAH BROOK - STATION 343,DIXFIELD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.55889583,-70.45211958
S-343,AUNT HANNAH BROOK - STATION 343,DIXFIELD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.55889583,-70.45211958
S-344,LITTLE ANDROSCOGGIN RIVER - STATION 344,POLAND,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.08830990,-70.33285977
S-345,SWIFT RIVER - STATION 345,RUMFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.55948264,-70.54963030
S-345,SWIFT RIVER - STATION 345,RUMFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.55948264,-70.54963030
S-346,SWIFT RIVER - STATION 346,ROXBURY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.68259415,-70.60352196
S-346,SWIFT RIVER - STATION 346,ROXBURY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.68259415,-70.60352196
S-347,UNNAMED BROOK - STATION 347,LISBON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.00147136,-70.06814734
S-348,MERRILL BROOK - STATION 348,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.85106981,-70.13380611
S-349,BEAN BROOK - STATION 349,RUMFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.54214618,-70.54944190
S-349,BEAN BROOK - STATION 349,RUMFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.54103547,-70.55019655
S-350,MERRILL BROOK - STATION 350,NEWRY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.48233837,-70.88447084
S-350,MERRILL BROOK - STATION 350,NEWRY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.48233837,-70.88447084
S-351,MERRILL BROOK - STATION 351,NEWRY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.49703630,-70.89337737
S-352,SUNDAY RIVER - STATION 352,NEWRY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.49669635,-70.89588495
S-353,SUNDAY RIVER - STATION 353,NEWRY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.49660178,-70.89067024
S-354,SUNDAY RIVER - STATION 354,BETHEL,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.45275383,-70.81177812
S-354,SUNDAY RIVER - STATION 354,BETHEL,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.45275383,-70.81177812
S-355,ANDROSCOGGIN RIVER - STATION 355,BETHEL,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.46667321,-70.79784204
S-355,ANDROSCOGGIN RIVER - STATION 355,BETHEL,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.46667321,-70.79784204
S-356,STETSON BROOK - STATION 356,LEWISTON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.12824384,-70.18237713
S-356,STETSON BROOK - STATION 356,LEWISTON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.12824384,-70.18237713
S-357,BOBBIN MILL BROOK - STATION 357,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.12042039,-70.21517976
S-357,BOBBIN MILL BROOK - STATION 357,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.12042039,-70.21517976
S-358,ANDROSCOGGIN RIVER - STATION 358,LEWISTON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.01350205,-70.16589838
S-359,SABATTUS RIVER - STATION 359,SABATTUS,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.07342733,-70.10479796
S-359,SABATTUS RIVER - STATION 359,SABATTUS,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.07342733,-70.10479796
S-360,CUPSUPTIC RIVER - STATION 360,UPPER CUPSUPTIC TWP,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.09932442,-70.88402531
S-361,HEATH BROOK - STATION 361,TREMONT,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.27612753,-68.36664868
S-361,HEATH BROOK - STATION 361,TREMONT,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.27612753,-68.36664868
S-362,LURVEY SPRING BROOK - STATION 362,SOUTHWEST HARBOR,HANCOCK,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.31057441,-68.33530239
S-363,WEST BRANCH MATTAWAMKEAG RIVER - STATION 363,T03 R03 WELS,AROOSTOOK,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.88251577,-68.06470433
S-364,MEDUXNEKEAG RIVER - STATION 364,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.15024400,-67.82367200
S-364,MEDUXNEKEAG RIVER - STATION 364,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.15024400,-67.82367200
S-365,MEDUXNEKEAG RIVER - STATION 365,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.13391843,-67.83115636
S-365,MEDUXNEKEAG RIVER - STATION 365,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.13391843,-67.83115636
S-366,SOUTH BRANCH MEDUXNEKEAG RIVER - STATION 366,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.10084718,-67.87186184
S-367,MEDUXNEKEAG RIVER - STATION 367,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.10355554,-67.88248293
S-367,MEDUXNEKEAG RIVER - STATION 367,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.10355554,-67.88248293
S-368,ST JOHN RIVER - STATION 368,MADAWASKA,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.35440959,-68.27226370
S-368,ST JOHN RIVER - STATION 368,MADAWASKA,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.35440959,-68.27226370
S-369,AROOSTOOK RIVER - STATION 369,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.85586287,-68.00185453
S-370,AROOSTOOK RIVER - STATION 370,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.82709953,-67.92803361
S-370,AROOSTOOK RIVER - STATION 370,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.82709953,-67.92803361
S-371,FISH RIVER - STATION 371,FORT KENT,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.25291395,-68.58997136
S-371,FISH RIVER - STATION 371,FORT KENT,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.25291395,-68.58997136
S-372,FISH RIVER - STATION 372,WALLAGRASS,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.16743166,-68.58246878
S-373,FISH RIVER - STATION 373,WALLAGRASS,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.12498687,-68.57310928
S-373,FISH RIVER - STATION 373,WALLAGRASS,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.12498687,-68.57310928
S-374,PRETTY BROOK - STATION 374,WESTFIELD,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.53172502,-67.95314063
S-375,ROCKY BROOK - STATION 375,MARS HILL,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.52135641,-67.85505713
S-375,ROCKY BROOK - STATION 375,MARS HILL,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.52135641,-67.85505713
S-376,SALMON BROOK - STATION 376,PERHAM,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.87834486,-68.23843732
S-376,SALMON BROOK - STATION 376,PERHAM,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.87834486,-68.23843732
S-377,SALMON BROOK - STATION 377,WASHBURN,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.80543226,-68.15317744
S-377,SALMON BROOK - STATION 377,WASHBURN,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.80543226,-68.15317744
S-378,HARDWOOD BROOK - STATION 378,PRESQUE ISLE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.77691504,-67.97076794
S-379,LIBBY BROOK - STATION 379,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.91146493,-70.33263208
S-380,MILL BROOK - STATION 380,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.74106570,-70.35360703
S-381,MILL BROOK - STATION 381,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.70283826,-70.33929403
S-382,DOUGLAS BROOK - STATION 382,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.70733321,-70.51913309
S-383,DOUGLAS BROOK - STATION 383,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.72714466,-70.47103774
S-384,BIRCH STREAM - STATION 384,BANGOR,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.82080298,-68.81021083
S-385,DOLE BROOK - STATION 385,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.70408537,-70.30067880
S-386,DOLE BROOK - STATION 386,PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.70504808,-70.30631107
S-387,BARBERRY CREEK - STATION 387,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.62648264,-70.27807642
S-388,MOUSAM RIVER - STATION 388,SANFORD,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.47918938,-70.80883700
S-388,MOUSAM RIVER - STATION 388,SANFORD,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.47918938,-70.80883700
S-389,MEDUXNEKEAG RIVER - STATION 389,LITTLETON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.20921232,-67.80094049
S-390,MOUSAM RIVER - STATION 390,SANFORD,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.41033665,-70.72653753
S-391,MOUSAM RIVER - STATION 391,SANFORD,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.40626939,-70.71618716
S-391,MOUSAM RIVER - STATION 391,SANFORD,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.40626939,-70.71618716
S-392,SHEEPSCOT RIVER - STATION 392,PALERMO,WALDO,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.34003784,-69.44293067
S-393,SHEEPSCOT RIVER - STATION 393,PALERMO,WALDO,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.34151044,-69.44771917
S-393,SHEEPSCOT RIVER - STATION 393,PALERMO,WALDO,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.34151044,-69.44771917
S-394,PLEASANT RIVER (PRESUMPSCOT) - STATION 394,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.86413077,-70.34445169
S-394,PLEASANT RIVER (PRESUMPSCOT) - STATION 394,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.86413077,-70.34445169
S-395,BAKER BROOK - STATION 395,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.81503293,-70.38106734
S-396,EAST BRANCH PENOBSCOT RIVER - STATION 396,SOLDIERTOWN TWP T2 R7 WELS,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.76763670,-68.57652582
S-397,PENOBSCOT RIVER - STATION 397,MATTAWAMKEAG,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.50934012,-68.36047792
S-398,PENOBSCOT RIVER - STATION 398,WINN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.46707250,-68.40088603
S-399,PENOBSCOT RIVER - STATION 399,WOODVILLE,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.57426210,-68.41912866
S-400,PENOBSCOT RIVER - STATION 400,MEDWAY,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.59319276,-68.45838702
S-401,CARRABASSETT RIVER - STATION 401,ANSON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.85306206,-69.88943300
S-402,KENNEBEC RIVER - STATION 402,MADISON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.83270171,-69.86749686
S-403,KENNEBEC RIVER - STATION 403,ANSON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.79736404,-69.88861490
S-404,KENNEBEC RIVER - STATION 404,ANSON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.78997912,-69.89034985
S-405,KENNEBEC RIVER - STATION 405,MADISON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.78018544,-69.88720829
S-405,KENNEBEC RIVER - STATION 405,MADISON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.78018544,-69.88720829
S-406,PENOBSCOT RIVER - STATION 406,OLD TOWN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.91765185,-68.63198388
S-407,PENOBSCOT RIVER - STATION 407,OLD TOWN,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.92298257,-68.63682914
S-408,SOUTH BRANCH LONG CREEK - STATION 408,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.63277454,-70.32745472
S-409,LONG CREEK (BLANCHETTE BROOK) - STATION 409,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.64816782,-70.35024916
S-410,LONG CREEK - STATION 410,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.63983791,-70.33200590
S-411,LONG CREEK - STATION 411,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.64737480,-70.35156434
S-412,RED BROOK - STATION 412,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.62794344,-70.32561167
S-413,RED BROOK - STATION 413,SCARBOROUGH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.62642572,-70.34602896
S-413,RED BROOK - STATION 413,SCARBOROUGH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.62642572,-70.34602896
S-414,LONG CREEK - STATION 414,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.63541655,-70.32626021
S-415,LONG CREEK - STATION 415,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.63495836,-70.32685212
S-416,RAGGED STREAM - STATION 416,T02 R13 WELS,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.78621188,-69.33105141
S-417,SOUTH BRANCH PENOBSCOT RIVER - STATION 417,PITTSTON ACADEMY GRANT,SOMERSET,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.87286700,-69.99821400
S-418,WEST BRANCH PENOBSCOT RIVER - STATION 418,SEBOOMOOK TWP,SOMERSET,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.91142200,-69.73227800
S-419,CAUCOMGOMOC STREAM - STATION 419,T06 R14 WELS,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.19437947,-69.55684785
S-420,SOUTH BRANCH PENOBSCOT RIVER - STATION 420,PITTSTON ACADEMY GRANT,SOMERSET,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.88191773,-69.97324938
S-421,WEST BRANCH PENOBSCOT RIVER - STATION 421,SEBOOMOOK TWP,SOMERSET,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.91978328,-69.70022737
S-422,FISH BROOK - STATION 422,FAIRFIELD,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.62575864,-69.65163929
S-422,FISH BROOK - STATION 422,FAIRFIELD,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.62575864,-69.65163929
S-423,FISH BROOK - STATION 423,FAIRFIELD,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.61348458,-69.64726177
S-423,FISH BROOK - STATION 423,FAIRFIELD,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.61348458,-69.64726177
S-424,FISH BROOK - STATION 424,FAIRFIELD,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.61076412,-69.64636456
