FID,FID_1,Station_Nu,Station,Town,County,Major_Drai,Site_Type,Sample_Typ,Latitude,Longitude,PctImperv
171,11,S-144,MARE BROOK - STATION 144,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.879597859999997,-69.923851299999995,0.1780000
172,50,S-330,MARE BROOK - UNNAMED TRIBUTARY - STATION 330,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.885027569999998,-69.921005519999994,0.1780000
173,51,S-331,MARE BROOK - STATION 331,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.882934870000000,-69.932518860000002,0.1780000
174,79,S-457,MARE BROOK - STATION 457,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.881958339999997,-69.923665799999995,0.1780000
175,150,S-1064,MARE BROOK - STATION 1064,BRUNSWICK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.900379999999998,-69.971860000000007,0.1780000
176,18,S-220,HATCHERY BROOK - STATION 220,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.920797710000002,-70.346160979999993,0.0730000
177,43,S-316,COLE BROOK - STATION 316,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.936574000000000,-70.339601349999995,0.0700000
178,44,S-317,COLE BROOK - STATION 317,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.923885259999999,-70.339484100000007,0.0700000
179,107,S-639,NORTON BROOK - STATION 639,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.739852440000000,-70.219845570000004,0.1160000
180,161,S-1126,NORTON BROOK - STATION 1126,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.735266000000003,-70.223158999999995,0.1160000
181,19,S-221,LIBBY BROOK - STATION 221,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.919972289999997,-70.327830149999997,0.0490000
182,54,S-379,LIBBY BROOK - STATION 379,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.911464930000001,-70.332632079999996,0.0490000
183,137,S-801,LIBBY BROOK - STATION 801,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.921435870000003,-70.319394590000002,0.0490000
184,6,S-141,EDDY BROOK - STATION 141,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.942837210000000,-70.328180390000000,0.0460000
185,7,S-142,EDDY BROOK - STATION 142,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.934897610000000,-70.323678029999996,0.0460000
186,41,S-304,FROST GULLY BROOK - STATION 304,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.861513090000003,-70.092406990000001,0.0810000
187,42,S-304,FROST GULLY BROOK - STATION 304,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.861513090000003,-70.092406990000001,0.0810000
188,40,S-303,FROST GULLY BROOK - STATION 303,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.861094379999997,-70.094289700000004,0.1150000
189,87,S-477,FROST GULLY BROOK - STATION 477,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.860181930000003,-70.093152489999994,0.1150000
190,24,S-227,COLLYER BROOK - STATION 227,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.896779490000000,-70.294119240000001,0.0210000
191,88,S-496,CONCORD GULLY - STATION 496,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.845300690000002,-70.108418020000002,0.1790000
192,89,S-497,CONCORD GULLY - STATION 497,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.846275149999997,-70.106268700000001,0.1790000
193,90,S-498,CONCORD GULLY - STATION 498,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.846025570000002,-70.104429229999994,0.1790000
194,91,S-498,CONCORD GULLY - STATION 498,FREEPORT,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.846025570000002,-70.104429229999994,0.1790000
195,139,S-816,MOOSE BROOK - STATION 816,AUBURN,ANDROSCOGGIN,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.022627290000003,-70.274036080000002,0.0930000
196,173,W-012,MARINER POND OUTLET - W-012,SEBAGO,CUMBERLAND,SACO,WETLAND,WETLAND,43.893950850000003,-70.695169350000000,0.0330000
197,190,W-029,MEADOW BROOK (NEW GLOUCESTER) - W-029,NEW GLOUCESTER,CUMBERLAND,SACO,WETLAND,WETLAND,43.958892790000000,-70.261653330000001,0.0190000
198,204,W-133,ALLEN BOG SITE B - W-133,GRAY,CUMBERLAND,SACO,WETLAND,WETLAND,43.866467960000001,-70.376771849999997,0.0130000
199,192,W-031,UNNAMED TRIBUTARY TO RUNAROUND POND - W-031,DURHAM,ANDROSCOGGIN,SACO,WETLAND,WETLAND,43.956476950000003,-70.165917059999998,0.0060000
200,108,S-640,UNNAMED STREAM (PORTLAND 6) - STATION 640,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.703890809999997,-70.262914899999998,0.1310000
201,4,S-71,PRESUMPSCOT RIVER - STATION 71,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.680889909999998,-70.371675069999995,0.0000000
