Station Number,Sample Type,Sample ID,Sample Date,Statutory Class,Final Determination,Attained Class,Report
S-675,ALGAE,SA-675-2015R (1544),7/28/2015,C,C,Yes,
S-692,MACROINVERTEBRATE,1256,8/25/2003,B,C,No,Report
S-722,MACROINVERTEBRATE,2639,9/20/2017,AA,A,Yes,
S-723,MACROINVERTEBRATE,2641,9/20/2017,AA,A,Yes,
S-751,MACROINVERTEBRATE,1682,8/27/2007,B,NA,No,View
S-752,MACROINVERTEBRATE,2706,7/9/2018,C,NA,No,
S-753,MACROINVERTEBRATE,2705,8/7/2018,C,NA,No,
S-757,MACROINVERTEBRATE,1405,8/25/2004,B,C,No,Report
S-758,MACROINVERTEBRATE,2361,8/11/2015,B,B,Yes,View
S-759,ALGAE,SA-759-2015R (1507),6/25/2015,B,C,No,
S-760,MACROINVERTEBRATE,1415,9/30/2004,A,A,Yes,Report
S-761,MACROINVERTEBRATE,1416,9/30/2004,A,A,Yes,Report
S-795,MACROINVERTEBRATE,1927,8/13/2010,C,NA,No,View
S-796,MACROINVERTEBRATE,1971,8/30/2010,B,I,Indeterminate,View
S-799,MACROINVERTEBRATE,2358,8/11/2015,B,C,No,View
S-799,ALGAE,SA-799-2015R (1522),7/8/2015,B,C,No,
S-802,MACROINVERTEBRATE,1502,9/1/2005,C,B,Yes,Report
S-816,MACROINVERTEBRATE,2596,8/24/2017,B,NA,No,View
S-931,MACROINVERTEBRATE,2297,9/15/2014,C,NA,No,View
S-932,MACROINVERTEBRATE,2298,9/15/2014,C,NA,No,View
S-933,MACROINVERTEBRATE,1837,8/11/2009,C,NA,No,View
S-934,MACROINVERTEBRATE,1838,8/11/2009,C,NA,No,View
S-998,MACROINVERTEBRATE,2350,8/6/2015,B,A,Yes,View
S-998,ALGAE,SA-998-2015R (1543),7/27/2015,B,B,Yes,
S-1015,MACROINVERTEBRATE,2704,7/9/2018,C,NA,No,
S-1039,MACROINVERTEBRATE,2299,8/18/2014,C,NA,No,View
S-1040,MACROINVERTEBRATE,2300,8/18/2014,C,NA,No,View
S-1064,MACROINVERTEBRATE,2347,8/5/2015,B,NA,No,View
S-1067,MACROINVERTEBRATE,2401,7/8/2015,B,I,Indeterminate,Report
S-1068,MACROINVERTEBRATE,2402,7/8/2015,B,I,Indeterminate,Report
S-1069,MACROINVERTEBRATE,2403,7/8/2015,B,I,Indeterminate,Report
S-1070,MACROINVERTEBRATE,2404,7/8/2015,B,I,Indeterminate,Report
S-1071,MACROINVERTEBRATE,2405,7/8/2015,B,I,Indeterminate,Report
S-1072,MACROINVERTEBRATE,2406,7/8/2015,B,I,Indeterminate,Report
S-1073,MACROINVERTEBRATE,2407,7/8/2015,B,I,Indeterminate,Report
S-1074,MACROINVERTEBRATE,2408,7/8/2015,B,I,Indeterminate,Report
S-1075,MACROINVERTEBRATE,2409,7/8/2015,B,I,Indeterminate,Report
S-1076,MACROINVERTEBRATE,2410,7/8/2015,B,I,Indeterminate,Report
S-1126,MACROINVERTEBRATE,2602,8/30/2017,B,NA,No,View
